Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Collective Author 1,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation,Author 34 First Name,Author 34 Last Name,Author 34 Affiliation
"preliminary results coupling ""stochastic mean field"" and ""boltzmann-langevin one body"" models with geant4",https://pubmed.ncbi.nlm.nih.gov/31706147/,06,11,2019,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),67,,1724-191X,C,Mancini-Terracciano,"Dip. Fisica, Sapienza Univ. di Roma, Rome, Italy; INFN Sezione di Roma, Rome, Italy. Electronic address: carlo.mancini.terracciano@roma1.infn.it.",M,Asai,"SLAC National Accelerator Laboratory, Menlo Park, United States.",B,Caccia,"National Center for Radiation Protection and Computational Physics, Istituto Superiore di Sanit, Italy.",G A P,Cirrone,"INFN, Laboratori Nazionali del Sud, Catania, Italy.",A,Dotti,"SLAC National Accelerator Laboratory, Menlo Park, United States.",R,Faccini,"Dip. Fisica, Sapienza Univ. di Roma, Rome, Italy; INFN Sezione di Roma, Rome, Italy.",P,Napolitani,"IPN, CNRS/IN2P3, Université Paris-Sud 11, UniversitéParis-Saclay, 91406 Orsay Cedex, France.",L,Pandola,"INFN, Laboratori Nazionali del Sud, Catania, Italy.",D H,Wright,"SLAC National Accelerator Laboratory, Menlo Park, United States.",M,Colonna,"INFN, Laboratori Nazionali del Sud, Catania, Italy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"accurate, robust and harmonized implementation of morpho-functional imaging in treatment planning for personalized radiotherapy",https://pubmed.ncbi.nlm.nih.gov/30625230/,09,01,2019,PloS one,14,1,1932-6203,Elisa,Jiménez-Ortega,"Departamento de Fisiología Médica y Biofísica, Universidad de Sevilla, Seville, Spain.",Ana,Ureba,"Departamento de Fisiología Médica y Biofísica, Universidad de Sevilla, Seville, Spain.",José Antonio,Baeza,"Departamento de Fisiología Médica y Biofísica, Universidad de Sevilla, Seville, Spain.",Ana Rita,Barbeiro,"Departamento de Fisiología Médica y Biofísica, Universidad de Sevilla, Seville, Spain.",Marcin,Balcerzyk,"Centro Nacional de Aceleradores (CNA), Universidad de Sevilla, Junta de Andalucía, Consejo Superior de Investigaciones Científicas (CSIC), Seville, Spain.",Ángel,Parrado-Gallego,"Centro Nacional de Aceleradores (CNA), Universidad de Sevilla, Junta de Andalucía, Consejo Superior de Investigaciones Científicas (CSIC), Seville, Spain.",Amadeo,Wals-Zurita,"Hospital Universitario Virgen Macarena, Servicio de Radioterapia, Seville, Spain.",Francisco Javier,García-Gómez,"Hospital Universitario Virgen Macarena, Servicio de Medicina Nuclear, Seville, Spain.",Antonio,Leal,"Departamento de Fisiología Médica y Biofísica, Universidad de Sevilla, Seville, Spain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simulation of dosimetry impact of 4dct uncertainty in 4d dose calculation for lung sbrt,https://pubmed.ncbi.nlm.nih.gov/30621744/,08,01,2019,"Radiation oncology (London, England)",14,1,1748-717X,Gang,Liu,"Key Laboratory of Artificial Micro- and Nano- structures of Ministry of Education and Center for Electronic Microscopy, School of Physics and Technology, Wuhan University, Wuhan, 430072, China.",Fala,Hu,"School of Mathematics and Statistics, Wuhan University, Wuhan, 430072, China.",Xuanfeng,Ding,"Proton Therapy Center Beaumont Health, Royal Oak, MI, 48074, USA.",Xiaoqiang,Li,"Proton Therapy Center Beaumont Health, Royal Oak, MI, 48074, USA.",Qihong,Shao,"Wuhan Zhongyuan Electronics Group Co. LTD, Wuhan, 430205, China.",Yuenan,Wang,"Cancer Hospital Chinese Academy of Medical Sciences, Shenzhen Center, Shenzhen, 518000, China.",Jing,Yang,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.",Hong,Quan,"Key Laboratory of Artificial Micro- and Nano- structures of Ministry of Education and Center for Electronic Microscopy, School of Physics and Technology, Wuhan University, Wuhan, 430072, China. csp6606@sina.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
individualized and inverse optimized needle configuration for combined intracavitary-interstitial brachytherapy in locally advanced cervical cancer,https://pubmed.ncbi.nlm.nih.gov/31939442/,XX,XX,2019,Journal of cancer research and therapeutics,15,7,1998-4138,Daguang,Zhang,"School of Mechanical Engineering, Tianjin University, Tianjin, China.",Zhiyong,Yang,"School of Mechanical Engineering, Tianjin University, Tianjin, China.",Shan,Jiang,"School of Mechanical Engineering, Tianjin University, Tianjin, China.",Lin,Zhou,"School of Mechanical Engineering, Tianjin University, Tianjin, China.",Zeyang,Zhou,"School of Mechanical Engineering, Tianjin University, Tianjin, China.",Wei,Wang,"Department of Radiation Oncology, Tianjin Medical University Cancer Institute and Hospital, Tianjin, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimal number and sizes of the doses in fractionated radiotherapy according to the lq model,https://pubmed.ncbi.nlm.nih.gov/29346681/,14,03,2019,Mathematical medicine and biology : a journal of the IMA,36,1,1477-8602,C,Bruni,"Istituto di Analisi dei Sistemi ed Informatica ""A. Ruberti"" - CNR, Via dei Taurini 19, Rome, Italy.",F,Conte,"Istituto di Analisi dei Sistemi ed Informatica ""A. Ruberti"" - CNR, Via dei Taurini 19, Rome, Italy.",F,Papa,"Istituto di Analisi dei Sistemi ed Informatica ""A. Ruberti"" - CNR, Via dei Taurini 19, Rome, Italy.",C,Sinisgalli,"Istituto di Analisi dei Sistemi ed Informatica ""A. Ruberti"" - CNR, Via dei Taurini 19, Rome, Italy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lower doses to hippocampi and other brain structures for skull-base meningiomas with intensity modulated proton therapy compared to photon therapy,https://pubmed.ncbi.nlm.nih.gov/31522879/,12,09,2019,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,142,,1879-0887,Mireille A,Florijn,"Department of Medical Physics, Haaglanden Medical Center, Leidschendam, the Netherlands. Electronic address: mireille.florijn@emailmij.org.",Abdul Wahab M,Sharfo,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, the Netherlands.",Ruud G J,Wiggenraad,"Department of Radiation Oncology, Haaglanden Medical Center, Leidschendam, the Netherlands; Holland Proton Therapy Centre, Delft, the Netherlands.",Jan P C,van Santvoort,"Department of Medical Physics, Haaglanden Medical Center, Leidschendam, the Netherlands.",Anna L,Petoukhova,"Department of Medical Physics, Haaglanden Medical Center, Leidschendam, the Netherlands; Holland Proton Therapy Centre, Delft, the Netherlands.",Mischa S,Hoogeman,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, the Netherlands; Holland Proton Therapy Centre, Delft, the Netherlands.",Mirjam E,Mast,"Department of Radiation Oncology, Haaglanden Medical Center, Leidschendam, the Netherlands.",Maarten L P,Dirkx,"Department of Radiation Oncology, Erasmus MC Cancer Institute, Rotterdam, the Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimizing configurations for 7-dof robotic ultrasound guidance in radiotherapy of the prostate,https://pubmed.ncbi.nlm.nih.gov/31947445/,XX,07,2019,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2019,,2694-0604,Matthias,Schluter,,Christoph,Furweger,,Alexander,Schlaefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surveillance imaging for patients with head and neck cancer treated with definitive radiotherapy: a partially observed markov decision process model,https://pubmed.ncbi.nlm.nih.gov/31725906/,14,11,2019,Cancer,126,4,1097-0142,Sweet Ping,Ng,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Temitayo,Ajayi,"Department of Computational and Applied Mathematics, Rice University, Houston, Texas.",Andrew J,Schaefer,"Department of Computational and Applied Mathematics, Rice University, Houston, Texas.",Courtney,Pollard,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Houda,Bahig,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Adam S,Garden,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",David I,Rosenthal,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",G Brandon,Gunn,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Steven J,Frank,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Jack,Phan,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",William H,Morrison,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Jason M,Johnson,"Department of Diagnostic Radiology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Abdallah S R,Mohamed,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Erich M,Sturgis,"Department of Head and Neck Surgery, Division of Surgery, The University of Texas MD Anderson Cancer Center, Houston, Texas.",Clifton D,Fuller,"Department of Radiation Oncology, Division of Radiation Oncology, The University of Texas MD Anderson Cancer Center, Houston, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust spatiotemporal fractionation schemes in the presence of patient setup uncertainty,https://pubmed.ncbi.nlm.nih.gov/31087677/,07,06,2019,Medical physics,46,7,2473-4209,Melissa R,Gaddy,"Department of Mathematics, North Carolina State University, Raleigh, NC, 27695-8205, USA.",Jan,Unkelbach,"Department of Radiation Oncology, University Hospital Zürich, Zürich, CH, 8091, Switzerland.",Dávid,Papp,"Department of Mathematics, North Carolina State University, Raleigh, NC, 27695-8205, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantum-inspired algorithm for radiotherapy planning optimization,https://pubmed.ncbi.nlm.nih.gov/31574176/,07,11,2019,Medical physics,47,1,2473-4209,Julia M,Pakela,"Applied Physics Program, University of Michigan, Ann Arbor, MI, USA.",Huan-Hsin,Tseng,"Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, USA.",Martha M,Matuszak,"Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, USA.",Randall K,Ten Haken,"Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, USA.",Daniel L,McShan,"Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, USA.",Issam,El Naqa,"Applied Physics Program, University of Michigan, Ann Arbor, MI, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a risk-adjusted control chart to evaluate intensity modulated radiation therapy plan quality,https://pubmed.ncbi.nlm.nih.gov/33089020/,04,12,2019,Advances in radiation oncology,5,5,2452-1094,Arkajyoti,Roy,"Department of Management Science and Statistics, University of Texas at San Antonio, San Antonio, Texas.",Dan,Cutright,"Department of Radiation Oncology, University of Chicago Medical Center, Chicago, Illinois.",Mahesh,Gopalakrishnan,"Department of Radiation Oncology, Robert H. Lurie Comprehensive Cancer Center, Northwestern Memorial Hospital, Northwestern University Feinberg School of Medicine, Chicago, Illinois.",Arthur B,Yeh,"Department of Applied Statistics and Operations Research, Bowling Green State University, Bowling Green, Ohio.",Bharat B,Mittal,"Department of Radiation Oncology, Robert H. Lurie Comprehensive Cancer Center, Northwestern Memorial Hospital, Northwestern University Feinberg School of Medicine, Chicago, Illinois.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simultaneous optimization of mixed photon energy beams in volumetric modulated arc therapy,https://pubmed.ncbi.nlm.nih.gov/31276215/,31,07,2019,Medical physics,46,9,2473-4209,Shadab,Momin,"Department of Radiation Oncology, Washington University School of Medicine, St. Louis, MO, USA.",James,Gräfe,"Department of Physics, Ryerson University, Toronto, ON, Canada.",Konstantinos,Georgiou,"Department of Mathematics, Ryerson University, Toronto, ON, Canada.",Rao,Khan,"Department of Radiation Oncology, Washington University School of Medicine, St. Louis, MO, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"an in silico planning study comparing doses and estimated risk of toxicity in 3d-crt, imrt and proton beam therapy of patients with thymic tumours",https://pubmed.ncbi.nlm.nih.gov/31000071/,30,03,2019,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),60,,1724-191X,Anders,Lideståhl,"Department of Oncology-Pathology, Karolinska Institutet, Stockholm, Sweden. Electronic address: anders.lidestahl@sll.se.",Gracinda,Mondlane,"Department of Oncology-Pathology, Karolinska Institutet, Stockholm, Sweden; Department of Oncology, Södersjukhuset, Stockholm, Sweden.",Michael,Gubanski,"Department of Oncology-Pathology, Karolinska Institutet, Stockholm, Sweden.",Pehr A,Lind,"Department of Oncology, Södersjukhuset, Stockholm, Sweden; Department of Clinical Science and Education, Karolinska Institutet, Södersjukhuset, Stockholm, Sweden.",Albert,Siegbahn,"Department of Oncology, Södersjukhuset, Stockholm, Sweden; Department of Clinical Science and Education, Karolinska Institutet, Södersjukhuset, Stockholm, Sweden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statistical evaluation of worst-case robust optimization intensity-modulated proton therapy plans using an exhaustive sampling approach,https://pubmed.ncbi.nlm.nih.gov/31324257/,19,07,2019,"Radiation oncology (London, England)",14,1,1748-717X,Zhiyong,Yang,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.",Heng,Li,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Unit 1150, Houston, TX, 77030, USA.",Yupeng,Li,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Unit 1150, Houston, TX, 77030, USA.",Yuting,Li,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Unit 1150, Houston, TX, 77030, USA.",Yu,Chang,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.",Qin,Li,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.",Kunyu,Yang,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.",Gang,Wu,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430022, China.",Narayan,Sahoo,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Unit 1150, Houston, TX, 77030, USA.",Falk,Poenisch,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Unit 1150, Houston, TX, 77030, USA.",Michael,Gillin,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Unit 1150, Houston, TX, 77030, USA.",X Ronald,Zhu,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Unit 1150, Houston, TX, 77030, USA.",Xiaodong,Zhang,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Unit 1150, Houston, TX, 77030, USA. xizhang@mdanderson.org.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a linear programming approach to inverse planning in gamma knife radiosurgery,https://pubmed.ncbi.nlm.nih.gov/30746722/,08,03,2019,Medical physics,46,4,2473-4209,J,Sjölund,"Elekta Instrument AB, Kungstensgatan 18, Box 7593, SE-103 93, Stockholm, Sweden.",S,Riad,"Elekta Instrument AB, Kungstensgatan 18, Box 7593, SE-103 93, Stockholm, Sweden.",M,Hennix,"Elekta Instrument AB, Kungstensgatan 18, Box 7593, SE-103 93, Stockholm, Sweden.",H,Nordström,"Elekta Instrument AB, Kungstensgatan 18, Box 7593, SE-103 93, Stockholm, Sweden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
