Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Journal Issue,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Collective Author 1
potential pitfalls of the ptv concept in dose-to-medium planning optimization,https://pubmed.ncbi.nlm.nih.gov/27546868/,18,08,2016,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),32,1724-191X,E,Sterpin,"Katholieke Universiteit Leuven, Department of Oncology, O&N I Herestraat 49, 3000 Leuven, Belgium; Université catholique de Louvain, Center of Molecular Imaging, Radiotherapy and Oncology, Institut de recherche expérimentale et clinique, Avenue Hippocrate 54, 1200 Brussels, Belgium. Electronic address: edmond.sterpin@kuleuven.be.",,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothyroidism in patients treated with radiotherapy for head and neck carcinoma: standardised long-term follow-up study,https://pubmed.ncbi.nlm.nih.gov/26975210/,15,03,2016,The Journal of laryngology and otology,130,1748-5460,J R,Alba,"Department of ENT,University General Hospital,Valencia Medical School,Spain.",J,Basterra,"Department of ENT,University General Hospital,Valencia Medical School,Spain.",J C,Ferrer,"Department of Endocrinology,University General Hospital,Valencia Medical School,Spain.",5,F,Santonja,"Department of Statistics and Operations Research,University of Valencia,Spain.",E,Zapater,"Department of ENT,University General Hospital,Valencia Medical School,Spain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automated proton treatment planning with robust optimization using constrained hierarchical optimization,https://pubmed.ncbi.nlm.nih.gov/32196679/,13,04,2020,Medical physics,47,2473-4209,Vicki T,Taasti,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",Linda,Hong,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",Joseph O,Deasy,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",7,Masoud,Zarepisheh,"Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quantification of plan robustness against different uncertainty sources for classical and anatomical robust optimized treatment plans in head and neck cancer proton therapy,https://pubmed.ncbi.nlm.nih.gov/31778315/,28,11,2019,The British journal of radiology,93,1748-880X,Macarena,Cubillos-Mesías,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Esther G C,Troost,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Fabian,Lohaus,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",1107,Linda,Agolli,"Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany.",Maximilian,Rehm,"Department of Radiotherapy and Radiation Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Dresden, Germany.",Christian,Richter,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",Kristin,Stützer,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden - Rossendorf, Dresden, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dosimetric comparison of helical tomotherapy, volumetric-modulated arc therapy, and intensity-modulated proton therapy for angiosarcoma of the scalp",https://pubmed.ncbi.nlm.nih.gov/33517860/,XX,XX,2021,Technology in cancer research & treatment,20,1533-0338,Tomoki,Mizuno,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",Natsuo,Tomita,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",Taiki,Takaoka,"Narita Memorial Proton Center, Toyohashi, Aichi, Japan.",,Masashi,Tomida,"Narita Memorial Proton Center, Toyohashi, Aichi, Japan.",Hiroshi,Fukuma,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",Takahiro,Tsuchiya,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",Yuta,Shibamoto,"Department of Radiology, Nagoya City University Graduate School of Medical Sciences, Nagoya, Aichi, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a column generation approach for  evaluating delivery efficiencies of  collimator technologies in imrt treatment  planning,https://pubmed.ncbi.nlm.nih.gov/25675154/,07,03,2015,Physics in medicine and biology,60,1361-6560,M,Gören,"Department of Industrial Engineering, Boğaziçi University, Bebek 34342, Istanbul, Turkey. merve.goren@boun.edu.tr",Z C,Taşkin,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conformal radiotherapy and intensity-modulated radiotherapy--clinical data,https://pubmed.ncbi.nlm.nih.gov/11093364/,XX,XX,2000,"Acta oncologica (Stockholm, Sweden)",39,0284-186X,M,Tubiana,"Institut Gustave Roussy, Villejuif, France.",F,Eschwège,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranking radiotherapy treatment plans using decision-analytic and heuristic techniques,https://pubmed.ncbi.nlm.nih.gov/1511598/,XX,08,1992,"Computers and biomedical research, an international journal",25,0010-4809,N L,Jain,"Institute for Biomedical Computing Washington University School of Medicine, St. Louis, MO 63110.",M G,Kahn,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derivative-free generation and interpolation of convex pareto optimal imrt plans,https://pubmed.ncbi.nlm.nih.gov/17148822/,23,11,2006,Physics in medicine and biology,51,0031-9155,Aswin L,Hoffmann,"Department of Radiation Oncology, Radboud University Nijmegen Medical Centre, PO Box 9101, 6500 HB Nijmegen, The Netherlands. a.hoffmann@rther.umcn.nl",Alex Y D,Siem,,Dick,den Hertog,,24,Johannes H A M,Kaanders,,Henk,Huizenga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a risk-adjusted control chart to evaluate intensity modulated radiation therapy plan quality,https://pubmed.ncbi.nlm.nih.gov/33089020/,04,12,2019,Advances in radiation oncology,5,2452-1094,Arkajyoti,Roy,"Department of Management Science and Statistics, University of Texas at San Antonio, San Antonio, Texas.",Dan,Cutright,"Department of Radiation Oncology, University of Chicago Medical Center, Chicago, Illinois.",Mahesh,Gopalakrishnan,"Department of Radiation Oncology, Robert H. Lurie Comprehensive Cancer Center, Northwestern Memorial Hospital, Northwestern University Feinberg School of Medicine, Chicago, Illinois.",5,Arthur B,Yeh,"Department of Applied Statistics and Operations Research, Bowling Green State University, Bowling Green, Ohio.",Bharat B,Mittal,"Department of Radiation Oncology, Robert H. Lurie Comprehensive Cancer Center, Northwestern Memorial Hospital, Northwestern University Feinberg School of Medicine, Chicago, Illinois.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose-shaping using targeted sparse optimization,https://pubmed.ncbi.nlm.nih.gov/23822415/,XX,07,2013,Medical physics,40,2473-4209,George A,Sayre,"Department of Radiation Oncology, University of California - Los Angeles School of Medicine, 200 Medical Plaza, Los Angeles, California 90095, USA.",Dan,Ruan,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intensity modulated proton therapy (impt) - the future of imrt for head and neck cancer,https://pubmed.ncbi.nlm.nih.gov/30616799/,21,11,2018,Oral oncology,88,1879-0593,Amy C,Moreno,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Steven J,Frank,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Adam S,Garden,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",,David I,Rosenthal,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Clifton D,Fuller,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Gary B,Gunn,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Jay P,Reddy,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",William H,Morrison,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Tyler D,Williamson,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Emma B,Holliday,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Jack,Phan,"Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.",Pierre,Blanchard,"Department of Radiation Oncology, Gustave Roussy, Villejuif, France. Electronic address: Pierre.Blanchard@gustaveroussy.fr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stochastic predictions of cell kill during stereotactic ablative radiation therapy: do hypoxia and reoxygenation really matter?,https://pubmed.ncbi.nlm.nih.gov/27212197/,19,03,2016,"International journal of radiation oncology, biology, physics",95,1879-355X,Wendy M,Harriss-Phillips,"Department of Medical Physics, Royal Adelaide Hospital, Adelaide, South Australia, Australia; School of Chemistry and Physics, University of Adelaide, Adelaide, South Australia, Australia. Electronic address: wharrphil@gmail.com.",Eva,Bezak,"School of Chemistry and Physics, University of Adelaide, Adelaide, South Australia, Australia; International Centre for Allied Health Evidence, University of South Australia, Adelaide, South Australia, Australia; Sansom Institute for Health Research, University of South Australia, Adelaide, South Australia, Australia.",Andrew,Potter,"Department of Radiation Oncology, Royal Adelaide Hospital, Adelaide, South Australia, Australia; Adelaide Radiotherapy Centre, Genesis CancerCare, Adelaide, South Australia, Australia.",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selective robust optimization: a new intensity-modulated proton therapy optimization strategy,https://pubmed.ncbi.nlm.nih.gov/26233211/,XX,08,2015,Medical physics,42,2473-4209,Yupeng,Li,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030 and Department of Applied Research, Varian Medical Systems, Palo Alto, California 94304.",Perttu,Niemela,"Department of Applied Research, Varian Medical Systems, Palo Alto, California 94304.",Li,Liao,"Department of Industrial Engineering, University of Houston, Houston, Texas 77004.",8,Shengpeng,Jiang,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030 and Department of Radiotherapy, Tianjin Medical University Cancer Institute and Hospital, Tianjin 300040, China.",Heng,Li,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030.",Falk,Poenisch,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030.",X Ronald,Zhu,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030.",Sami,Siljamaki,"Department of Applied Research, Varian Medical Systems, Palo Alto, California 94304.",Reynald,Vanderstraeten,"Department of Applied Research, Varian Medical Systems, Palo Alto, California 94304.",Narayan,Sahoo,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030.",Michael,Gillin,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030.",Xiaodong,Zhang,"Department of Radiation Physics, The University of Texas MD Anderson Cancer Center, Houston, Texas 77030.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose optimization with first-order total-variation minimization for dense angularly sampled and sparse intensity modulated radiation therapy (dassim-rt),https://pubmed.ncbi.nlm.nih.gov/22830765/,XX,07,2012,Medical physics,39,0094-2405,Hojin,Kim,"Department of Electrical Engineering, Stanford University, Stanford, CA, USA.",Ruijiang,Li,,Rena,Lee,,7,Thomas,Goldstein,,Stephen,Boyd,,Emmanuel,Candes,,Lei,Xing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a comprehensive formulation for volumetric modulated arc therapy planning,https://pubmed.ncbi.nlm.nih.gov/27370141/,XX,07,2016,Medical physics,43,2473-4209,Dan,Nguyen,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California 90024.",Qihui,Lyu,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California 90024.",Dan,Ruan,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California 90024.",7,Daniel,O'Connor,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California 90024.",Daniel A,Low,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California 90024.",Ke,Sheng,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California 90024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
improve the dosimetric outcome in bilateral head and neck cancer (hnc) treatment using spot-scanning proton arc (sparc) therapy: a feasibility study,https://pubmed.ncbi.nlm.nih.gov/32000817/,30,01,2020,"Radiation oncology (London, England)",15,1748-717X,Gang,Liu,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430023, China.",Xiaoqiang,Li,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, 48074, USA.",An,Qin,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, 48074, USA.",1,Weili,Zheng,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, 48074, USA.",Di,Yan,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, 48074, USA.",Sheng,Zhang,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430023, China.",Craig,Stevens,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, 48074, USA.",Peyman,Kabolizadeh,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, 48074, USA.",Xuanfeng,Ding,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, 48074, USA. Xuanfeng.Ding@beaumont.org.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiation dose-painting with protons vs. photons for head-and-neck cancer,https://pubmed.ncbi.nlm.nih.gov/31964199/,21,01,2020,"Acta oncologica (Stockholm, Sweden)",59,1651-226X,Katrin,Håkansson,"Department of Oncology, Section of Radiotherapy, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark.",Bob,Smulders,"Department of Oncology, Section of Radiotherapy, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark.",Lena,Specht,"Department of Oncology, Section of Radiotherapy, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark.",5,Mingyao,Zhu,"Department of Radiation Oncology, University of Maryland School of Medicine, Baltimore, MD, USA.",Jeppe,Friborg,"Department of Oncology, Section of Radiotherapy, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark.",Jacob H,Rasmussen,"Department of Otorhinolaryngology, Head & Neck Surgery and Audiology, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark.",Søren M,Bentzen,"Division of Biostatistics and Bioinformatics, University of Maryland Greenebaum Cancer Center and Department of Epidemiology and Public Health, University of Maryland School of Medicine, Baltimore, MD, USA.",Ivan R,Vogelius,"Department of Oncology, Section of Radiotherapy, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impact of range uncertainty on clinical distributions of linear energy transfer and biological effectiveness in proton therapy,https://pubmed.ncbi.nlm.nih.gov/33118161/,14,11,2020,Medical physics,47,2473-4209,Christian,Hahn,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden-Rossendorf, Dresden, Germany.",Jan,Eulitz,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden-Rossendorf, Dresden, Germany.",Nils,Peters,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden-Rossendorf, Dresden, Germany.",12,Patrick,Wohlfahrt,"Department of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School, Boston, USA.",Wolfgang,Enghardt,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden-Rossendorf, Dresden, Germany.",Christian,Richter,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden-Rossendorf, Dresden, Germany.",Armin,Lühr,"OncoRay - National Center for Radiation Research in Oncology, Faculty of Medicine and University Hospital Carl Gustav Carus, Technische Universität Dresden, Helmholtz-Zentrum Dresden-Rossendorf, Dresden, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
