Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Collective Author 1,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation,Author 34 First Name,Author 34 Last Name,Author 34 Affiliation
lung stereotactic body radiotherapy (sbrt) using spot-scanning proton arc (sparc) therapy: a feasibility study,https://pubmed.ncbi.nlm.nih.gov/33968770/,22,04,2021,Frontiers in oncology,11,,2234-943X,Gang,Liu,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China.",Lewei,Zhao,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, United States.",An,Qin,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, United States.",Inga,Grills,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, United States.",Rohan,Deraniyagala,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, United States.",Craig,Stevens,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, United States.",Sheng,Zhang,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China.",Di,Yan,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, United States.",Xiaoqiang,Li,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, United States.",Xuanfeng,Ding,"Department of Radiation Oncology, Beaumont Health System, Royal Oak, MI, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impact of errors in spot size and spot position in robustly optimized pencil beam scanning proton-based stereotactic body radiation therapy (sbrt) lung plans,https://pubmed.ncbi.nlm.nih.gov/34101334/,07,06,2021,Journal of applied clinical medical physics,22,7,1526-9914,Suresh,Rana,"Department of Medical Physics, The Oklahoma Proton Center, Oklahoma City, Oklahoma, USA.",Anatoly B,Rosenfeld,"Centre for Medical Radiation Physics (CMRP), University of Wollongong, Wollongong, New South Wales, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knowledge-based planning for robustly optimized intensity-modulated proton therapy of head and neck cancer patients,https://pubmed.ncbi.nlm.nih.gov/34737954/,19,10,2021,Frontiers in oncology,11,,2234-943X,Yihang,Xu,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Jonathan,Cyriac,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Mariluz,De Ornelas,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Elizabeth,Bossart,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Kyle,Padgett,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Michael,Butkus,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Tejan,Diwanji,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Stuart,Samuels,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Michael A,Samuels,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",Nesrin,Dogan,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment planning and 4d robust evaluation strategy for proton therapy of lung tumors with large motion amplitude,https://pubmed.ncbi.nlm.nih.gov/34214201/,17,07,2021,Medical physics,48,8,2473-4209,Vicki Trier,Taasti,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Djoya,Hattu,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Femke,Vaassen,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Richard,Canters,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Marije,Velders,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Jolein,Mannens,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Judith,van Loon,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Ilaria,Rinaldi,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Mirko,Unipan,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",Wouter,van Elmpt,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology, Maastricht University Medical Centre+, Maastricht, Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accurate assessment of a dutch practical robustness evaluation protocol in clinical pt with pencil beam scanning for neurological tumors,https://pubmed.ncbi.nlm.nih.gov/34352313/,02,08,2021,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,163,,1879-0887,Jesús,Rojo-Santiago,"Erasmus MC Cancer Institute, University Medical Center Rotterdam, Department of Radiotherapy, The Netherlands; Department of Medical Physics & Informatics, HollandPTC, Delft, The Netherlands. Electronic address: j.rojosantiago@erasmusmc.nl.",Steven J M,Habraken,"Erasmus MC Cancer Institute, University Medical Center Rotterdam, Department of Radiotherapy, The Netherlands; Department of Medical Physics & Informatics, HollandPTC, Delft, The Netherlands.",Danny,Lathouwers,"Delft University of Technology, Department of Radiation Science and Technology, Delft, The Netherlands.",Alejandra,Méndez Romero,"Erasmus MC Cancer Institute, University Medical Center Rotterdam, Department of Radiotherapy, The Netherlands; Department of Radiation Oncology, HollandPTC, Delft, The Netherlands.",Zoltán,Perkó,"Delft University of Technology, Department of Radiation Science and Technology, Delft, The Netherlands.",Mischa S,Hoogeman,"Erasmus MC Cancer Institute, University Medical Center Rotterdam, Department of Radiotherapy, The Netherlands; Department of Medical Physics & Informatics, HollandPTC, Delft, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is real-time inverse planning optimizing dose to the normal brain? a prospective comparative trial in a series of brain metastases treated by stereotactic radiosurgery,https://pubmed.ncbi.nlm.nih.gov/34818656/,24,11,2021,Stereotactic and functional neurosurgery,100,1,1423-0372,Yassine,Beltaifa,"Department of Functional and Stereotactic Neurosurgery and Gamma Knife Radiosurgery, Timone University Hospital, Aix Marseille Université, Marseille, France.",Hussein,Hamdi,"Department of Functional and Stereotactic Neurosurgery and Gamma Knife Radiosurgery, Timone University Hospital, Aix Marseille Université, Marseille, France.",Giorgio,Spatola,"Department of Functional and Stereotactic Neurosurgery and Gamma Knife Radiosurgery, Timone University Hospital, Aix Marseille Université, Marseille, France.",Anne,Balossier,"Department of Functional and Stereotactic Neurosurgery and Gamma Knife Radiosurgery, Timone University Hospital, Aix Marseille Université, Marseille, France.",Louise,Merly,"Department of Functional and Stereotactic Neurosurgery and Gamma Knife Radiosurgery, Timone University Hospital, Aix Marseille Université, Marseille, France.",Laura,Castillo,"Department of Functional and Stereotactic Neurosurgery and Gamma Knife Radiosurgery, Timone University Hospital, Aix Marseille Université, Marseille, France.",Axelle,Cretol,"Department of Functional and Stereotactic Neurosurgery and Gamma Knife Radiosurgery, Timone University Hospital, Aix Marseille Université, Marseille, France.",Jean,Regis,"Department of Functional and Stereotactic Neurosurgery and Gamma Knife Radiosurgery, Timone University Hospital, Aix Marseille Université, Marseille, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lag time between onset of first symptom and treatment of retinoblastoma: an international collaborative study of 692 patients from 10 countries,https://pubmed.ncbi.nlm.nih.gov/33921566/,19,04,2021,Cancers,13,8,2072-6694,Swathi,Kaliki,"The Operation Eyesight Universal Institute for Eye Cancer, L V Prasad Eye Institute, Hyderabad 500034, India.",Xunda,Ji,"Department of Ophthalmology, Xinhua Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai 200025, China.",Yihua,Zou,"Department of Ophthalmology, Xinhua Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai 200025, China.",Riffat,Rashid,"Department of Oculoplasty and Ocular Oncology, Ispahani Islamia Eye Institute and Hospital, Dhaka 1215, Bangladesh.",Sadia,Sultana,"Department of Oculoplasty and Ocular Oncology, Ispahani Islamia Eye Institute and Hospital, Dhaka 1215, Bangladesh.",Sadik,Taju Sherief,"Department of Ophthalmology, School of Medicine, Addis Ababa University, Addis Ababa 3614, Ethiopia.",Nathalie,Cassoux,"Institut Curie, Université de Paris Medicine Paris V Descartes, 75248 Paris, France.",Rosdali,Y Diaz Coronado,"Instituto Nacional de Enfermedades Neoplasicas, Lima 15038, Peru.",Juan,Luis Garcia Leon,"Anglo American Clinic, Lima 15073, Peru.",Arturo Manuel Zapata,López,"Instituto Nacional de Enfermedades Neoplasicas, Lima 15038, Peru.",Vladimir G,Polyakov,"Head and Neck Tumors Department, SRI of Pediatric Oncology and Hematology, N.N. Blokhin National Medical Research Center, Oncology of Russian Federation, 115478 Moscow, Russia.",Tatiana L,Ushakova,"Head and Neck Tumors Department, SRI of Pediatric Oncology and Hematology, N.N. Blokhin National Medical Research Center, Oncology of Russian Federation, 115478 Moscow, Russia.",Soma,Rani Roy,"Chittagong Eye Infirmary & Training Complex, Chittagong 4202, Bangladesh.",Alia,Ahmad,"The Children' Hospital & the Institute of Child Health, Lahore 54000, Pakistan.",Lamis,Al Harby,"The Royal London Hospital, Barts Health NHS Trust, London E1 1BB, UK.",M Ashwin,Reddy,"The Royal London Hospital, Barts Health NHS Trust, London E1 1BB, UK.",,Mandeep S,Sagoo,"The Royal London Hospital, Barts Health NHS Trust, London E1 1BB, UK.",Jesse,L Berry,"Children's Hospital Los Angeles & USC Roski Eye Institute, Keck School of Medicine, University of Southern California, Los Angeles, CA 90027, USA.",Jonathan,Kim,"Children's Hospital Los Angeles & USC Roski Eye Institute, Keck School of Medicine, University of Southern California, Los Angeles, CA 90027, USA.",Ashley,Polski,"Children's Hospital Los Angeles & USC Roski Eye Institute, Keck School of Medicine, University of Southern California, Los Angeles, CA 90027, USA.",Nicholas J,Astbury,"International Centre for Eye Health London School of Hygiene & Tropical Medicine, London WC1E 7HT, UK.",Covadonga,Bascaran,"International Centre for Eye Health London School of Hygiene & Tropical Medicine, London WC1E 7HT, UK.",Sharon,Blum,"Goldschleger Eye Institute, Sheba Medical Center, Tel Hashomer, Tel-Aviv University, Tel-Aviv 52621, Israel.",Richard,Bowman,"International Centre for Eye Health London School of Hygiene & Tropical Medicine, London WC1E 7HT, UK.",Matthew J,Burton,"UCL Institute of Ophthalmology, London EC1V 2PD, UK.",Allen,Foster,"International Centre for Eye Health London School of Hygiene & Tropical Medicine, London WC1E 7HT, UK.",Nir,Gomel,"Division of Ophthalmology, Tel Aviv Sourasky Medical Center, Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 39040, Israel.",Naama,Keren-Froim,"Goldschleger Eye Institute, Sheba Medical Center, Tel Hashomer, Tel-Aviv University, Tel-Aviv 52621, Israel.",Shiran,Madgar,"Goldschleger Eye Institute, Sheba Medical Center, Tel Hashomer, Tel-Aviv University, Tel-Aviv 52621, Israel.",Andrew,W Stacey,"Department of Ophthalmology, University of Washington, Seattle, WA 98195, USA.",David,M Steinberg,"Department of Statistics and Operations Research, School of Mathematical Sciences, Raymond and Beverly Sackler Faculty of Exact Sciences, Tel Aviv University, Tel Aviv 69978, Israel.",Ashik,Mohamed,"Ophthalmic Biophysics, L V Prasad Eye Institute, Hyderabad 500034, India.",Marcia,Zondervan,"International Centre for Eye Health London School of Hygiene & Tropical Medicine, London WC1E 7HT, UK.",Ido Didi,Fabian,"International Centre for Eye Health London School of Hygiene & Tropical Medicine, London WC1E 7HT, UK."
investigate the dosimetric and potential clinical benefits utilizing stereotactic body radiation therapy with simultaneous integrated boost technique for locally advanced pancreatic cancer: a comparison between photon and proton beam therapy,https://pubmed.ncbi.nlm.nih.gov/34631584/,22,09,2021,Frontiers in oncology,11,,2234-943X,Peilin,Liu,"Department of Radiation Oncology, Peking University First Hospital, Beijing, China.",Xian-Shu,Gao,"Department of Radiation Oncology, Peking University First Hospital, Beijing, China.",Zishen,Wang,"Department of Radiation Oncology, Hebei Yizhou Tumor Hospital, Zhuozhou, China.",Xiaomei,Li,"Department of Radiation Oncology, Peking University First Hospital, Beijing, China.",Cao,Xi,"Department of Radiation Oncology, Peking University First Hospital, Beijing, China.",Chenghao,Jia,"Department of Radiation Oncology, Peking University First Hospital, Beijing, China.",Mu,Xie,"Department of Radiation Oncology, Peking University First Hospital, Beijing, China.",Feng,Lyu,"Department of Radiation Oncology, Peking University First Hospital, Beijing, China.",Xuanfeng,Ding,"Department of Radiation Oncology, Beaumont Health, Proton Beam Therapy Center, Royal Oak, MI, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust optimization for hdr prostate brachytherapy applied to organ reconstruction uncertainty,https://pubmed.ncbi.nlm.nih.gov/33503602/,13,02,2021,Physics in medicine and biology,66,5,1361-6560,Marjolein C,van der Meer,"Department of Radiation Oncology, Amsterdam UMC, location Academic Medical Center, University of Amsterdam, Amsterdam, The Netherlands.",Peter A N,Bosman,"Life Sciences and Health research group, Centrum Wiskunde & Informatica, Amsterdam, The Netherlands.",Yury,Niatsetski,"Physics and Advanced Development, Elekta, Veenendaal, The Netherlands.",Tanja,Alderliesten,"Department of Radiation Oncology, Leiden University Medical Center, Leiden, The Netherlands.",Bradley R,Pieters,"Department of Radiation Oncology, Amsterdam UMC, location Academic Medical Center, University of Amsterdam, Amsterdam, The Netherlands.",Arjan,Bel,"Department of Radiation Oncology, Amsterdam UMC, location Academic Medical Center, University of Amsterdam, Amsterdam, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinical evaluation of a real-time inverse planning for gamma knife radiosurgery by convex optimization: a prospective comparative trial in a series of vestibular schwannoma patients,https://pubmed.ncbi.nlm.nih.gov/33398540/,05,01,2021,Acta neurochirurgica,163,4,0942-0940,Jean,Régis,"Institut de Neuroscience des Systèmes, Functional Neurosurgery and Radiosurgery Department, Aix-Marseille Université, Hôpital de la Timone, APHM, Marseille, France. jregis@ap-hm.fr.",Hussein,Hamdi,"Institut de Neuroscience des Systèmes, Functional Neurosurgery and Radiosurgery Department, Aix-Marseille Université, Hôpital de la Timone, APHM, Marseille, France.",Anderson,Loundou,"Departement of Biostatistic, Aix-Marseille Université, Marseille, France.",Louise,Merly,"Institut de Neuroscience des Systèmes, Functional Neurosurgery and Radiosurgery Department, Aix-Marseille Université, Hôpital de la Timone, APHM, Marseille, France.",Laura,Castillo,"Institut de Neuroscience des Systèmes, Functional Neurosurgery and Radiosurgery Department, Aix-Marseille Université, Hôpital de la Timone, APHM, Marseille, France.",Anne,Balossier,"Institut de Neuroscience des Systèmes, Functional Neurosurgery and Radiosurgery Department, Aix-Marseille Université, Hôpital de la Timone, APHM, Marseille, France.",Giorgio,Spatola,"Institut de Neuroscience des Systèmes, Functional Neurosurgery and Radiosurgery Department, Aix-Marseille Université, Hôpital de la Timone, APHM, Marseille, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how should we model and evaluate breathing interplay effects in impt?,https://pubmed.ncbi.nlm.nih.gov/34757958/,23,11,2021,Physics in medicine and biology,66,23,1361-6560,Oscar,Pastor-Serrano,"Delft University of Technology, Department of Radiation Science and Technology, Delft, The Netherlands.",Steven,Habraken,"Erasmus MC Cancer Institute, University Medical Center, Department of Radiotherapy, Rotterdam, The Netherlands.",Danny,Lathouwers,"Delft University of Technology, Department of Radiation Science and Technology, Delft, The Netherlands.",Mischa,Hoogeman,"Erasmus MC Cancer Institute, University Medical Center, Department of Radiotherapy, Rotterdam, The Netherlands.",Dennis,Schaart,"Delft University of Technology, Department of Radiation Science and Technology, Delft, The Netherlands.",Zoltán,Perkó,"Delft University of Technology, Department of Radiation Science and Technology, Delft, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a two-phase approach for the radiotherapy scheduling problem,https://pubmed.ncbi.nlm.nih.gov/34505969/,10,09,2021,Health care management science,,,1386-9620,Tu-San,Pham,"Polytechnique Montréal, Montréal, Canada. tu-san.pham@polymtl.ca.",Louis-Martin,Rousseau,"Polytechnique Montréal, Montréal, Canada.",Patrick,De Causmaecker,"KU Leuven, Leuven, Belgium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
systematic evaluation and plan quality assessment of the leksell® gamma knife® lightning dose optimizer,https://pubmed.ncbi.nlm.nih.gov/34696931/,23,10,2021,Medical dosimetry : official journal of the American Association of Medical Dosimetrists,47,1,1873-4022,D Jay,Wieczorek,"Department of Radiation Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA; Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA.",Rupesh,Kotecha,"Department of Radiation Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA; Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA.",Matthew D,Hall,"Department of Radiation Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA; Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA.",Martin C,Tom,"Department of Radiation Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA; Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA.",Stephen,Davis,"Department of Radiation Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA; Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA.",Manmeet S,Ahluwalia,"Department of Medical Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA.",Michael W,McDermott,"Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA; Department of Neurosurgery, Miami Neuroscience Institute, Baptist Health South Florida, Miami, FL 33176 USA.",Minesh P,Mehta,"Department of Radiation Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA; Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA.",Alonso N,Gutierrez,"Department of Radiation Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA; Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA.",Ranjini,Tolakanahalli,"Department of Radiation Oncology, Miami Cancer Institute, Baptist Health South Florida, Miami, FL 33176 USA; Herbert Wertheim College of Medicine, Florida International University, Miami, FL 33199 USA. Electronic address: ranjinit@baptisthealth.net.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anatomic changes in head and neck intensity-modulated proton therapy: comparison between robust optimization and online adaptation,https://pubmed.ncbi.nlm.nih.gov/33741469/,17,03,2021,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,159,,1879-0887,Arthur,Lalonde,"Department of Radiation Oncology, Massachusetts General Hospital & Harvard Medical School, Boston, USA. Electronic address: alalonde@mgh.harvard.edu.",Mislav,Bobić,"Department of Radiation Oncology, Massachusetts General Hospital & Harvard Medical School, Boston, USA; ETH Zürich, Zürich, Switzerland.",Brian,Winey,"Department of Radiation Oncology, Massachusetts General Hospital & Harvard Medical School, Boston, USA.",Joost,Verburg,"Department of Radiation Oncology, Massachusetts General Hospital & Harvard Medical School, Boston, USA.",Gregory C,Sharp,"Department of Radiation Oncology, Massachusetts General Hospital & Harvard Medical School, Boston, USA.",Harald,Paganetti,"Department of Radiation Oncology, Massachusetts General Hospital & Harvard Medical School, Boston, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-dose hypofractionated pencil beam scanning carbon ion radiotherapy for lung tumors: dosimetric impact of different spot sizes and robustness to interfractional uncertainties,https://pubmed.ncbi.nlm.nih.gov/33984821/,10,05,2021,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),85,,1724-191X,Edoardo,Mastella,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy. Electronic address: edoardo.mastella@cnao.it.",Alfredo,Mirandola,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",Stefania,Russo,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",Alessandro,Vai,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",Giuseppe,Magro,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",Silvia,Molinelli,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",Amelia,Barcellini,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",Viviana,Vitolo,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",Ester,Orlandi,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",Mario,Ciocca,"CNAO, National Center for Oncological Hadrontherapy, Strada Campeggi 53, I-27100 Pavia, Italy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the role of plan robustness evaluation in comparing protons and photons plans - an application on impt and imrt plans in skull base chordomas,https://pubmed.ncbi.nlm.nih.gov/33953495/,02,02,2021,Journal of medical physics,45,4,0971-6203,Manthala Padannayil,Noufal,"Department of Medical Physics, Apollo Proton Cancer Centre, Chennai, Tamil Nadu, India.",Lamberto,Widesott,"Department of Proton Therapy, Azienda Provinciale Per I Servizi Sanitari, Trento, Italy.",Shamurailatpam Dayananda,Sharma,"Department of Medical Physics, Apollo Proton Cancer Centre, Chennai, Tamil Nadu, India.",Roberto,Righetto,"Department of Proton Therapy, Azienda Provinciale Per I Servizi Sanitari, Trento, Italy.",Marco,Cianchetti,"Department of Proton Therapy, Azienda Provinciale Per I Servizi Sanitari, Trento, Italy.",Marco,Schwarz,"Department of Proton Therapy, Azienda Provinciale Per I Servizi Sanitari, Trento, Italy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assessment of daily dose accumulation for robustly optimized intensity modulated proton therapy treatment of prostate cancer,https://pubmed.ncbi.nlm.nih.gov/33445124/,11,01,2021,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),81,,1724-191X,Yihang,Xu,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Tejan,Diwanji,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Nellie,Brovold,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Michael,Butkus,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Kyle R,Padgett,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Ryder M,Schmidt,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Adam,King,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Alan,Dal Pra,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Matt,Abramowitz,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Alan,Pollack,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA.",Nesrin,Dogan,"Department of Radiation Oncology, University of Miami Miller School of Medicine, Miami, FL, USA. Electronic address: ndogan@med.miami.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
