Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation
to stimulate or withdraw? a cost-utility analysis of recombinant human thyrotropin versus thyroxine withdrawal for radioiodine ablation in patients with low-risk differentiated thyroid cancer in the united states,https://pubmed.ncbi.nlm.nih.gov/20139234/,05,02,2010,The Journal of clinical endocrinology and metabolism,95,4,1945-7197,Tracy S,Wang,"Department of Surgery, Medical College of Wisconsin, Milwaukee, Wisconsin 53226, USA. tswang@mcw.edu",Kevin,Cheung,,Pritesh,Mehta,,Sanziana A,Roman,,Hugh D,Walker,,Julie Ann,Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjuvant versus salvage radiotherapy for patients with adverse pathological findings following radical prostatectomy: a decision analysis,https://pubmed.ncbi.nlm.nih.gov/30288422/,19,05,2017,MDM policy & practice,2,1,2381-4683,Christopher J D,Wallis,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",Gerard,Morton,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",Angela,Jerath,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",Raj,Satkunasviam,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",Ewa,Szumacher,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",Sender,Herschorn,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",Ronald T,Kodama,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",Girish S,Kulkarni,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",David,Naimark,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",Robert K,Nam,"Division of Urology, Sunnybrook Health Sciences Centre (CJDW, RS, SH, RTK, RKN), University of Toronto, Toronto, Ontario, Canada.",,,,,,,,,,,,,,,
exercise in preventing falls for men with prostate cancer: a modelled cost-utility analysis,https://pubmed.ncbi.nlm.nih.gov/35201385/,24,02,2022,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,30,6,1433-7339,Kim,Edmunds,"Centre for the Business and Economics of Health, University of Queensland, Brisbane, QLD, 4072, Australia. k.edmunds@uq.edu.au.",Paul,Scuffham,"Menzies Health Institute Queensland, Griffith University, Gold Coast, Australia.",Robert U,Newton,"Exercise Medicine Research Institute, Edith Cowan University, Joondalup, Australia.",Daniel A,Galvão,"Exercise Medicine Research Institute, Edith Cowan University, Joondalup, Australia.",Haitham,Tuffaha,"Centre for the Business and Economics of Health, University of Queensland, Brisbane, QLD, 4072, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment for patients with rectal cancer and a clinical complete response to neoadjuvant therapy: a decision analysis,https://pubmed.ncbi.nlm.nih.gov/19502849/,XX,05,2009,Diseases of the colon and rectum,52,5,1530-0358,Heather B,Neuman,"Department of Surgery, Memorial Sloan-Kettering Cancer Center, New York, New York 10065, USA.",Elena B,Elkin,,Jose G,Guillem,,Philip B,Paty,,Martin R,Weiser,,W Douglas,Wong,,Larissa K,Temple,,,,,,,,,,,,,,,,,,,,,,,,,
a systematic review of the budget impact analyses for antitumor drugs of lung cancer,https://pubmed.ncbi.nlm.nih.gov/33292288/,01,12,2020,Cost effectiveness and resource allocation : C/E,18,1,1478-7547,Lu,Han,"School of Health Management/Public Health, Harbin Medical University, Harbin, 150081, China.",Xin,Zhang,"School of Health Management/Public Health, Harbin Medical University, Harbin, 150081, China.",Wen-Qi,Fu,"School of Health Management/Public Health, Harbin Medical University, Harbin, 150081, China.",Cheng-Yao,Sun,"School of Health Management/Public Health, Harbin Medical University, Harbin, 150081, China.",Xian-Ming,Zhao,"Tumor Radiotherapy Center, Harbin the First Hospital, Harbin, 150010, China.",Liang-Ru,Zhou,"School of Health Management/Public Health, Harbin Medical University, Harbin, 150081, China.",Guo-Xiang,Liu,"School of Health Management/Public Health, Harbin Medical University, Harbin, 150081, China. lgx6301@163.com.",,,,,,,,,,,,,,,,,,,,,,,,
systematic review of the cost effectiveness of radiation therapy for prostate cancer from 2003 to 2013,https://pubmed.ncbi.nlm.nih.gov/25022451/,XX,08,2014,Applied health economics and health policy,12,4,1179-1896,Neha P,Amin,"Karmanos Cancer Center, Wayne State University School of Medicine, Gershenson Radiation Oncology, 4201 St. Antoine UHC 1D, Detroit, MI, 48201, USA, npamin@gmail.com.",David J,Sher,,Andre A,Konski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application of constrained optimization methods in health services research: report 2 of the ispor optimization methods emerging good practices task force,https://pubmed.ncbi.nlm.nih.gov/30224103/,XX,09,2018,Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,21,9,1524-4733,William,Crown,"OptumLabs(™), Boston, MA, USA.",Nasuh,Buyukkaramikli,"Institute of Medical Technology Assessment (iMTA), Erasmus University Rotterdam, Rotterdam, The Netherlands.",Mustafa Y,Sir,"Health Care Policy and Research, Information & Decision Engineering, Mayo Clinic Kern Center for the Science of Health Care Delivery, Rochester, MN, USA.",Praveen,Thokala,"University of Sheffield, Sheffield, UK.",Alec,Morton,"Department of Management Science, Strathclyde Business School, University of Strathclyde, Glasgow, Scotland, UK.",Deborah A,Marshall,"Health Services & Systems Research, University of Calgary, Calgary, Alberta, Canada; Alberta Bone & Joint Health Institute, Department Community Health Sciences, Faculty of Sciences, Faculty of Medicine, University of Calgary, Calgary, Alberta, Canada; Cumming School of Medicine, University of Calgary, Calgary, Alberta, Canada.",Jonathan C,Tosh,"DRG Abacus, Manchester, UK.",Maarten J,Ijzerman,"University of Twente, Department Health Technology & Services Research, Enschede, The Netherlands; Luxembourg Institute of Health, Health Economics and Evidence Synthesis Unit, Strassen, Luxembourg.",William V,Padula,"Department of Health Policy & Management, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA.",Kalyan S,Pasupathy,"Health Care Policy and Research, Information & Decision Engineering, Mayo Clinic Kern Center for the Science of Health Care Delivery, Rochester, MN, USA. Electronic address: pasupathyk@mayo.edu.",,,,,,,,,,,,,,,
data-driven markov models and their application in the evaluation of adverse events in radiotherapy,https://pubmed.ncbi.nlm.nih.gov/23824126/,XX,07,2013,Journal of radiation research,54 Suppl 1,,1349-9157,Daniel,Abler,"CERN, CH1211 Geneva 23, Switzerland. daniel.abler@cern.ch",Vassiliki,Kanellopoulos,,Jim,Davies,,Manjit,Dosanjh,,Raj,Jena,,Norman,Kirkby,,Ken,Peach,,,,,,,,,,,,,,,,,,,,,,,,,
the cost-effectiveness of particle therapy in non-small cell lung cancer: exploring decision uncertainty and areas for future research,https://pubmed.ncbi.nlm.nih.gov/20303217/,29,03,2010,Cancer treatment reviews,36,6,1532-1967,Janneke P C,Grutters,"Department of Radiation Oncology (MAASTRO), GROW-School for Oncology and Developmental Biology, Maastricht University Medical Centre, P.O. Box 1588, 6201 BN Maastricht, The Netherlands. janneke.grutters@maastro.nl",Madelon,Pijls-Johannesma,,Dirk De,Ruysscher,,Andrea,Peeters,,Stefan,Reimoser,,Johan L,Severens,,Philippe,Lambin,,Manuela A,Joore,,,,,,,,,,,,,,,,,,,,,,
cost-utility analysis of the cyberknife system for metastatic spinal tumors,https://pubmed.ncbi.nlm.nih.gov/19165078/,XX,02,2009,Neurosurgery,64,2 Suppl,1524-4040,Frank J,Papatheofanis,"Division of Health Policy, Department of Radiology and Economics, Rebecca and John Moores Cancer Center, University of California, San Diego, California 92103-8758, USA. fpapath@ucsd.edu",Erin,Williams,,Steven D,Chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operations research for resource planning and -use in radiotherapy: a literature review,https://pubmed.ncbi.nlm.nih.gov/27884182/,25,11,2016,BMC medical informatics and decision making,16,1,1472-6947,Bruno,Vieira,"Department of Radiation Oncology, Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital, Amsterdam, The Netherlands. b.vieira@nki.nl.",Erwin W,Hans,"Center for Healthcare Operations Improvement and Research (CHOIR), University of Twente, Enschede, The Netherlands.",Corine,van Vliet-Vroegindeweij,"Department of Radiation Oncology, Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital, Amsterdam, The Netherlands.",Jeroen,van de Kamer,"Department of Radiation Oncology, Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital, Amsterdam, The Netherlands.",Wim,van Harten,"Department of Radiation Oncology, Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital, Amsterdam, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-minimization analysis of gstp1c.313a>g genotyping for the prevention of cisplatin-induced nausea and vomiting: a bayesian inference approach,https://pubmed.ncbi.nlm.nih.gov/30870506/,14,03,2019,PloS one,14,3,1932-6203,Ligia Traldi,Macedo,"Faculty of Medical Sciences, State University of Campinas (UNICAMP), Campinas, Brazil.",Vinicius Eduardo,Ferrari,"Centre for Economics and Administration (CEA), Pontifical Catholic University of Campinas (PUCC), Campinas, Brazil.",Juliana,Carron,"Faculty of Medical Sciences, State University of Campinas (UNICAMP), Campinas, Brazil.",Ericka Francislaine Dias,Costa,"Faculty of Medical Sciences, State University of Campinas (UNICAMP), Campinas, Brazil.",Leisa,Lopes-Aguiar,"Faculty of Medical Sciences, State University of Campinas (UNICAMP), Campinas, Brazil.",Gustavo Jacob,Lourenço,"Faculty of Medical Sciences, State University of Campinas (UNICAMP), Campinas, Brazil.",Carmen Silvia Passos,Lima,"Faculty of Medical Sciences, State University of Campinas (UNICAMP), Campinas, Brazil.",,,,,,,,,,,,,,,,,,,,,,,,
markov decision process modeling for multi-stage optimization of intervention and treatment strategies in breast cancer,https://pubmed.ncbi.nlm.nih.gov/33019200/,XX,07,2020,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2020,,2694-0604,Farhad,Imani,,Zihang,Qiu,,Hui,Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partial-breast irradiation versus whole-breast irradiation for early-stage breast cancer: a cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/18963542/,27,10,2008,"International journal of radiation oncology, biology, physics",74,2,1879-355X,David J,Sher,"Harvard Radiation Oncology Program, Boston, MA, USA.",Eve,Wittenberg,,W Warren,Suh,,Alphonse G,Taghian,,Rinaa S,Punglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
providing guidance for genomics-based cancer treatment decisions: insights from stakeholder engagement for post-prostatectomy radiation therapy,https://pubmed.ncbi.nlm.nih.gov/28836985/,24,08,2017,BMC medical informatics and decision making,17,1,1472-6947,James,Abe,"Department of Radiation Oncology, University of Virginia School of Medicine, 1240 Lee Street, Box 800383, Charlottesville, VA, 22908, USA.",Jennifer M,Lobo,"Department of Public Health Sciences, University of Virginia School of Medicine, Charlottesville, VA, USA.",Daniel M,Trifiletti,"Department of Radiation Oncology, University of Virginia School of Medicine, 1240 Lee Street, Box 800383, Charlottesville, VA, 22908, USA.",Timothy N,Showalter,"Department of Radiation Oncology, University of Virginia School of Medicine, 1240 Lee Street, Box 800383, Charlottesville, VA, 22908, USA. tns3b@virginia.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intensity-modulated proton radiation therapy as a radical treatment modality for nasopharyngeal carcinoma in china: cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/34837286/,26,11,2021,Head & neck,44,2,1097-0347,Guo,Li,"Department of Radiation Oncology, Guangzhou Concord Cancer Center, Guangzhou, China.",Yun-Fei,Xia,"State Key Laboratory of Oncology in South China and Collaborative Innovation Center for Cancer Medicine, Sun Yat-sen University Cancer Center, Guangzhou, China.",Yi-Xiang,Huang,"Department of Health Management, Public Health Institute of Sun Yat-sen University, Guangzhou, China.",Deniz,Okat,"Department of Finance, Hong Kong University of Science and Technology, Hong Kong, China.",Bo,Qiu,"State Key Laboratory of Oncology in South China and Collaborative Innovation Center for Cancer Medicine, Sun Yat-sen University Cancer Center, Guangzhou, China.",Jerome,Doyen,"Department of Radiation Oncology, Antoine Lacassagne Cancer Center, University of Nice-Sophia, Nice, France.",Pierre-Yves,Bondiau,"Department of Radiation Oncology, Antoine Lacassagne Cancer Center, University of Nice-Sophia, Nice, France.",Karen,Benezery,"Department of Radiation Oncology, Antoine Lacassagne Cancer Center, University of Nice-Sophia, Nice, France.",Jin,Gao,"Division of Life Sciences and Medicine, Department of Radiation Oncology, The First Affiliated Hospital of University of Science and Technology of China, Hefei, China.",Chao-Nan,Qian,"Department of Radiation Oncology, Guangzhou Concord Cancer Center, Guangzhou, China.",,,,,,,,,,,,,,,
cost-effectiveness of the decipher genomic classifier to guide individualized decisions for early radiation therapy after prostatectomy for prostate cancer,https://pubmed.ncbi.nlm.nih.gov/28089723/,17,08,2016,Clinical genitourinary cancer,15,3,1938-0682,Jennifer M,Lobo,"Department of Public Health Sciences, University of Virginia School of Medicine, Charlottesville, VA. Electronic address: jem4yb@virginia.edu.",Daniel M,Trifiletti,"Department of Radiation Oncology, University of Virginia School of Medicine, Charlottesville, VA.",Vanessa N,Sturz,"Department of Public Health Sciences, University of Virginia School of Medicine, Charlottesville, VA.",Adam P,Dicker,"Department of Radiation Oncology, Sidney Kimmel Cancer Center, Sidney Kimmel Medical College at Thomas Jefferson University, Philadelphia, PA.",Christine,Buerki,"GenomeDx Biosciences, Vancouver, BC, Canada.",Elai,Davicioni,"GenomeDx Biosciences, Vancouver, BC, Canada.",Matthew R,Cooperberg,"Department of Urology, University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA.",R Jeffrey,Karnes,"Department of Urology, Mayo Clinic, Rochester, MN.",Robert B,Jenkins,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, MN.",Robert B,Den,"Department of Radiation Oncology, Sidney Kimmel Cancer Center, Sidney Kimmel Medical College at Thomas Jefferson University, Philadelphia, PA.",Timothy N,Showalter,"Department of Radiation Oncology, University of Virginia School of Medicine, Charlottesville, VA.",,,,,,,,,,,,
decision analysis of stereotactic radiation surgery versus stereotactic radiation surgery and whole-brain radiation therapy for 1 to 3 brain metastases,https://pubmed.ncbi.nlm.nih.gov/24751412/,18,04,2014,"International journal of radiation oncology, biology, physics",89,3,1879-355X,Nataniel H,Lester-Coll,"Department of Therapeutic Radiology, Yale University School of Medicine, New Haven, Connecticut. Electronic address: nataniel.lester-coll@yale.edu.",Arie P,Dosoretz,"Department of Therapeutic Radiology, Yale University School of Medicine, New Haven, Connecticut.",James B,Yu,"Department of Therapeutic Radiology, Yale University School of Medicine, New Haven, Connecticut; Cancer Outcomes, Public Policy and Effectiveness Research Center, Yale Comprehensive Cancer Center, and Yale University School of Medicine, New Haven, Connecticut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness analysis of preoperative versus postoperative radiation therapy in extremity soft tissue sarcoma,https://pubmed.ncbi.nlm.nih.gov/28068242/,19,10,2016,"International journal of radiation oncology, biology, physics",97,2,1879-355X,Xuanlu M,Qu,"Department of Oncology, Queen's University, Kingston, Ontario, Canada.",Alexander V,Louie,"Department of Radiation Oncology, London Health Sciences Center, London, Ontario, Canada.",Jonathan,Ashman,"Department of Radiation Oncology, Mayo Clinic Arizona, Phoenix, Arizona.",Nabil,Wasif,"Department of General Surgery, Mayo Clinic Arizona, Phoenix, Arizona. Electronic address: wasif.nabil@mayo.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simulation-based approximate policy iteration for dynamic patient scheduling for radiation therapy,https://pubmed.ncbi.nlm.nih.gov/27766509/,20,10,2016,Health care management science,21,3,1386-9620,Yasin,Gocgun,"Department of Industrial Engineering, Istanbul Kemerburgaz University, Istanbul, Turkey. yasin.gocgun@kemerburgaz.edu.tr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cost-effective interventions for breast cancer, cervical cancer, and colorectal cancer: new results from who-choice",https://pubmed.ncbi.nlm.nih.gov/30450014/,29,10,2018,Cost effectiveness and resource allocation : C/E,16,,1478-7547,Ambinintsoa H,Ralaidovy,"1Information, Evidence and Research, World Health Organization, Avenue Appia 20, Geneva, Switzerland.",Chaitra,Gopalappa,"Mechanical and Industrial Engineering, 219 Engineering Laboratory, University of Massachusetts, 160 Governors Drive, Amherst, MA 01003-2210 USA.",André,Ilbawi,"3Management of Noncommunicable Diseases, World Health Organization, Avenue Appia 20, Geneva, Switzerland.",Carel,Pretorius,"4Avenir Health, 655 Winding Brook Dr 4th Floor, Glastonbury, CT 06033 USA.",Jeremy A,Lauer,"5Health Systems Governance and Financing, World Health Organization, Avenue Appia 20, Geneva, Switzerland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
