Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Collective Author 1,Collective Author 2,Collective Author 3,Collective Author 4,Collective Author 5,Collective Author 6
testicular germ-cell tumour: diagnosis and treatment,https://pubmed.ncbi.nlm.nih.gov/16370168/,XX,10,2005,Annales d'urologie,39,5,0003-4401,A,Houlgatte,"Clinique urologique, hôpital d'instruction des Armées du Val de Grâce, 74, boulevard de Port-Royal, 75005 Paris, France. houlgatte.urovdg@free.fr",O,Bauduceau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subgroup economic evaluation of radiotherapy for breast cancer after mastectomy,https://pubmed.ncbi.nlm.nih.gov/26475419/,21,10,2015,Clinical therapeutics,37,11,1879-114X,Xiaomin,Wan,"Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, Hunan, China.",Liubao,Peng,Jinan,Ma,Gannong,Chen,Yuanjian,Li,,,,,,,,,"Department of Pharmacy, The Second Xiangya Hospital, Central South University, Changsha, Hunan, China.","Department of Oncology, The Second Xiangya Hospital, Central South University, Changsha, Hunan, China.","Department of Breast and Thyroid Surgery, The Second Xiangya Hospital, Central South University, Changsha, Hunan, China.","College of Pharmacy, Central South University, Changsha, Hunan, China. Electronic address: yuan_jianli@yahoo.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"frameless, image-guided stereotactic radiosurgery",https://pubmed.ncbi.nlm.nih.gov/17095398/,XX,11,2006,Seminars in oncology nursing,22,4,0749-2081,Emily Cassandra,Steffey-Stacy,"The Nicewonder Cancer Center, Bristol Regional Medical Center, Bristol, TN 37620, USA. cassi_stacy@wellmont.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estimating dynamic lung images from high-dimension chest surface motion using 4d statistical model,https://pubmed.ncbi.nlm.nih.gov/25485372/,XX,XX,2014,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,17,Pt 2,,Tiancheng,He,,Zhong,Xue,Nam,Yu,Paige L,Nitsch,Bin S,Teh,Stephen T,Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application of post-surgical stimulated thyroglobulin for radioiodine remnant ablation selection in low-risk papillary thyroid carcinoma,https://pubmed.ncbi.nlm.nih.gov/20187016/,XX,06,2010,Head & neck,32,6,1097-0347,Alon,Vaisman,"Department of Medicine, Endocrine Division, Mount Sinai Hospital and University of Toronto Medical School, Toronto, Ontario, Canada.",Steven,Orlov,Jonathan,Yip,Cindy,Hu,Terence,Lim,Mark,Dowar,Jeremy L,Freeman,Paul G,Walfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-response models for the analysis of non-monotone ignorable missing data,https://pubmed.ncbi.nlm.nih.gov/9004382/,XX,XX,1997,Statistics in medicine,16,1-3,0277-6715,J M,Robins,"Department of Epidemiology, Harvard School of Public Health, Boston, MA 02115, USA.",R D,Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast irradiation postlumpectomy: development and evaluation of a decision instrument,https://pubmed.ncbi.nlm.nih.gov/7707110/,XX,04,1995,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,13,4,0732-183X,T J,Whelan,"Ontario Cancer Treatment and Research Foundation-Hamilton Regional Cancer Center, Division of Radiation Oncology, Ontario, Canada.",M N,Levine,A,Gafni,H,Lukka,E A,Mohide,M,Patel,D L,Streiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment preferences for active surveillance versus active treatment among men with low-risk prostate cancer,https://pubmed.ncbi.nlm.nih.gov/27257092/,02,06,2016,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",25,8,1538-7755,Kathryn L,Taylor,"Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC. taylorkl@georgetown.edu.",Richard M,Hoffman,Kimberly M,Davis,George,Luta,Amethyst,Leimpeter,Tania,Lobo,Scott P,Kelly,Jun,Shan,David,Aaronson,"Division of General Internal Medicine, University of Iowa Carver College of Medicine/Iowa City VA Medical Center, Iowa.","Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC.","Department of Biostatistics, Bioinformatics, and Biomathematics, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC.","Division of Research, Kaiser Permanente Northern California.","Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC.","Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC.","Division of Research, Kaiser Permanente Northern California.","Department of Urology, Kaiser Permanente East Bay, Oakland, California.",Catherine A,Tomko,"Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC.",Amy J,Starosta,"Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC.",Charlotte J,Hagerman,"Cancer Prevention and Control Program, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, DC.",Stephen K,Van Den Eeden,"Division of Research, Kaiser Permanente Northern California.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a visual query-by-example image database for chest ct images: potential role as a decision and educational support tool for radiologists,https://pubmed.ncbi.nlm.nih.gov/15937719/,XX,03,2005,Journal of digital imaging,18,1,0897-1889,Giuseppe,Sasso,"Diagnostic Imaging and Radiotherapy Department, Second University of Naples, Italy. giuseppe_sasso@health.qld.gov.au",Hugo Raul,Marsiglia,Francesca,Pigatto,Antonio,Basilicata,Mario,Gargiulo,Andrea Francesco,Abate,Michele,Nappi,Jenny,Pulley,Francesco Silvano,Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"challenges in the treatment of breast cancer brain metastases: evidence, unresolved questions, and a practical algorithm",https://pubmed.ncbi.nlm.nih.gov/32207041/,21,03,2020,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,22,10,1699-3055,I,Meattini,"Department of Experimental and Clinical Biomedical Sciences ""M. Serio"", University of Florence, Florence, Italy. icro.meattini@unifi.it.",N,Andratschke,A M,Kirby,G,Sviri,B V,Offersen,P,Poortmans,O,Kaidar Person,,,,,"University Hospital of Zurich, The University of Zurich, Zurich, Switzerland.","Royal Marsden Hospital and Institute of Cancer Research, Sutton, UK.","Neurosurgery Department, Rambam Medical Center, Haifa, Israel.","Department of Experimental Clinical Oncology, Aarhus University, Aarhus C, Denmark.","Université Paris, Sciences et Lettres, Paris, France.","Sheba Tel Hashomer, Ramat Gan, Israel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acute dysphagia of oncological origin. therapeutic management,https://pubmed.ncbi.nlm.nih.gov/15723110/,XX,XX,2004,Anales del sistema sanitario de Navarra,27 Suppl 3,,1137-6627,F,Arias,"Servicio de Oncología Radioterápica, Hospital de Navarra, Pamplona. fariasde@cfnavarra.es",A,Manterola,M A,Domínguez,E,Martínez,E,Villafranca,P,Romero,R,Vera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concerning roberts and hendry ijrobp 1998;41:689-699,https://pubmed.ncbi.nlm.nih.gov/10348309/,01,06,1999,"International journal of radiation oncology, biology, physics",44,3,0360-3016,F M,Buffa,,J D,Fenwick,A E,Nahum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genetic evolutionary taboo search for optimal marker placement in infrared patient setup,https://pubmed.ncbi.nlm.nih.gov/17881802/,10,09,2007,Physics in medicine and biology,52,19,0031-9155,M,Riboldi,"TBMLab, Department of Bioengineering, Politecnico di Milano University, Plaza Leonardo da Vinci 32, 20133 Milano, Italy. marco.riboldi@polimi.it",G,Baroni,M F,Spadea,B,Tagaste,C,Garibaldi,R,Cambria,R,Orecchia,A,Pedotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bladder cancer,https://pubmed.ncbi.nlm.nih.gov/19176203/,XX,01,2009,Journal of the National Comprehensive Cancer Network : JNCCN,7,1,1540-1405,James E,Montie,University of Michigan Comprehensive Cancer Center.,Peter E,Clark,Mario A,Eisenberger,Rizk,El-Galley,Richard E,Greenberg,Harry W,Herr,Gary R,Hudes,Deborah A,Kuban,Timothy M,Kuzel,,,,,,,,,Paul H,Lange,,Subodh M,Lele,,Jeffrey,Michalski,,Anthony,Patterson,,Kamal S,Pohar,,Jerome P,Richie,,Wade J,Sexton,,William U,Shipley,,Eric J,Small,,Donald L,Trump,,Phillip J,Walther,,Timothy G,Wilson,,,,,,,,National Comprehensive Cancer Network,,,,,
breast cancer tumor heterogeneity has only little impact on the estimation of the oncotype dx® recurrence score using magee equations and magee decision algorithm™,https://pubmed.ncbi.nlm.nih.gov/33245987/,24,11,2020,Human pathology,108,,1532-8392,Annabelle,Remoué,"CHRU Brest, Department of Pathology, Brest, F-29220, France.",Virginie,Conan-Charlet,Laura,Deiana,Alexandra,Tyulyandina,Pascale,Marcorelles,Ulrike,Schick,Arnaud,Uguen,,,,,"CHRU Brest, Department of Pathology, Brest, F-29220, France.","CHRU Brest, Institute of Oncology and Hematology, Brest, F-29220, France.","CHRU Brest, Department of Radiotherapy, Brest, F-29220, France.","CHRU Brest, Department of Pathology, Brest, F-29220, France.","CHRU Brest, Department of Radiotherapy, Brest, F-29220, France.","CHRU Brest, Department of Pathology, Brest, F-29220, France; Univ Brest, Inserm, CHU de Brest, LBAI, UMR1227, Brest, France. Electronic address: arnaud.uguen@chu-brest.fr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indeterminate lung nodules in cancer patients: pretest probability of malignancy and the role of 18f-fdg pet/ct,https://pubmed.ncbi.nlm.nih.gov/24555586/,XX,03,2014,AJR. American journal of roentgenology,202,3,1546-3141,Laura,Evangelista,"1 Radiotherapy and Nuclear Medicine Unit, Veneto Institute of Oncology IOV-IRCCS, Padua, Italy.",Annalori,Panunzio,Roberta,Polverosi,Fabio,Pomerri,Domenico,Rubello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
management of malignant brain tumors,https://pubmed.ncbi.nlm.nih.gov/9363837/,XX,XX,1997,European neurology,38,3,0014-3022,J,Hildebrand,"Service de Neurologie, Université Libre de Bruxelles, Belgique, Belgium.",O,Dewitte,P Y,Dietrich,N,de Tribolet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validation of lesion simulations in clinical ct data for anonymized chest and abdominal ct databases,https://pubmed.ncbi.nlm.nih.gov/30703259/,19,02,2019,Medical physics,46,4,2473-4209,Marthony,Robins,"Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Medical Physics Graduate Program, Duke University Medical Center, Durham, NC, 27705, USA.",Justin,Solomon,Lynne M Hurwitz,Koweek,Jared,Christensen,Ehsan,Samei,,,,,,,,,"Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Medical Physics Graduate Program, Duke University Medical Center, Durham, NC, 27705, USA.","Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Medical Physics Graduate Program, Duke University Medical Center, Durham, NC, 27705, USA.","Department of Radiology, Duke University Medical Center, Durham, NC, 27705, USA.","Carl E. Ravin Advanced Imaging Laboratories, Department of Radiology, Medical Physics Graduate Program, Duke University Medical Center, Durham, NC, 27705, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"clinical practice guidelines: standards, options and recommendations for first line medical treatment of patients with ovarian neoplasms (summary report)",https://pubmed.ncbi.nlm.nih.gov/15381451/,XX,XX,2004,Bulletin du cancer,91,7-8,1769-6917,Catherine,Lhommé,"Institut Gustave-Roussy, Villejuif, FRANCE.",Isabelle,Ray-Coquard,Jean-Pierre,Guastalla,Anne,Bataillard,Laurence,Thomas,Pascal,Bonnier,Daniel,Dargent,Nicole,Dohollou,Gérard,Ganem,,,,,,,,,Jean-Pierre,Lefranc,,Jean-Louis,Misset,,Olivier,Rixe,,Xavier,Tchiknavorian,,Christophe,Tournigand,,Richard,Villet,,Thomas,Bachelot,,Pierre,Kerbrat,,Béatrice,Fervers,,Jean-Pierre,Basuyau,,Christine,Cohen-Solal-Le Nir,,Philippe,Morice,,Pierre,Duvillard,,Eric,Voog,,Fédération Nationale des Centres de Lutte Contre le Cancer (FNCLCC),Fédération Hospitalière de France (FHF),Fédération Nationale de Cancérologie des Centres Hospitaliers Régionaux Universitaires (FNCCHRU),Fédération Française de Cancérologie des Centres Hospitaliers Généraux (FFCCHG),Centres Régionaux de Lutte Contre le Cancer (CRLCC),Société Française d'Oncologie Gynécologique (SFOG)
ccafu's contribution to the french national cancer institute's reference frame: retroperitoneal sarcomas,https://pubmed.ncbi.nlm.nih.gov/24485290/,XX,11,2013,Progres en urologie : journal de l'Association francaise d'urologie et de la Societe francaise d'urologie,23 Suppl 2,,1166-7087,C,Avancès,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,J,Rigaud,P,Camparo,X,Durand,P,Sèbe,A,Fléchon,T,Murez,P,Coloby,M,Soulié,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine). Electronic address: jerome.rigaud@chu-nantes.fr.,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,Membre expert du CCAFU.,Membres du CCAFU-OGE (Comité de cancérologie de l'Association française d'urologie - sous-comité Organes génitaux externes et rétropéritoine).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Les membres du CCAFU,,,,,
cost-effectiveness analysis of interventions to reduce risk of aspiration in elderly cancer survivors residing in skilled nursing facilities,https://pubmed.ncbi.nlm.nih.gov/28441373/,XX,04,2017,Cancer control : journal of the Moffitt Cancer Center,24,2,1526-2359,S,Mantravadi,"University of West Florida, Pensacola, FL. Mantravadi@uwf.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primary treatment choices for men with clinically localized prostate carcinoma detected by screening,https://pubmed.ncbi.nlm.nih.gov/10699903/,01,03,2000,Cancer,88,5,0008-543X,Y,Yan,"Division of Urologic Surgery, Department of Surgery, Washington University School of Medicine, St. Louis, MO 63110, USA.",G F,Carvalhal,W J,Catalona,J D,Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economic assessment on the management of chronic lymphocytic leukaemia,https://pubmed.ncbi.nlm.nih.gov/15957971/,XX,06,2005,Expert opinion on pharmacotherapy,6,7,1744-7666,Kim M,Goor,"University Medical Centre Rotterdam, Erasmus MC, Institute for Medical Technology Assessment, PO Box 1738, 3000 DR Rotterdam, The Netherlands. k.goor@erasmusmc.nl",M Ronald,Schaafsma,Peter C,Huijgens,Michel,van Agthoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost effectiveness of chemoradiotherapy with cisplatin/fluorouracil and nedaplatin/fluorouracil for patients with esophageal cancer,https://pubmed.ncbi.nlm.nih.gov/18030014/,XX,11,2007,Gan to kagaku ryoho. Cancer & chemotherapy,34,11,0385-0684,Kazuki,Tomura,"Dept. of Pathophysiology, Showa University School of Pharmaceutical Sciences.",Mari,Kogo,Tadao,Inoue,Kazuhiro,Kaneko,Michio,Imawari,Keiichiro,Yoneyama,Yuji,Kiuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimizing resource allocation for breast cancer prevention and care among hong kong chinese women,https://pubmed.ncbi.nlm.nih.gov/22359352/,22,02,2012,Cancer,118,18,1097-0142,Irene O L,Wong,"School of Public Health, The University of Hong Kong, Hong Kong SAR, China. iolwong@hku.hk",Janice W H,Tsang,Benjamin J,Cowling,Gabriel M,Leung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oncologists' view of informed consent and shared decision making in paediatric radiation oncology,https://pubmed.ncbi.nlm.nih.gov/21889223/,31,08,2011,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,102,2,1879-0887,Robert A,Olson,"BC Cancer Agency, Centre for the North, Vancouver, Canada.",Mary Ann,Bobinski,Anita,Ho,Karen J,Goddard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on the elicitation of preferences for alternative therapies,https://pubmed.ncbi.nlm.nih.gov/7070445/,27,05,1982,The New England journal of medicine,306,21,0028-4793,B J,McNeil,,S G,Pauker,H C,Sox,A,Tversky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malignant mesothelioma,https://pubmed.ncbi.nlm.nih.gov/19642427/,20,06,2009,La Revue du praticien,59,6,0035-2640,Arnaud,Scherpereel,"Service de pneumologie et oncologie thoracique, hôpital Calmette, CHRU de Lille, Faculté de médecine Henri-Warembourg, université de Lille-II, unité Inserm 774, Lille. a-scherpereel@chru-lille.fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computerized scar detection on renal cortical scintigraphy images,https://pubmed.ncbi.nlm.nih.gov/21956492/,XX,11,2011,Nuclear medicine communications,32,11,1473-5628,Erkan Ü,Mumcuoğlu,"Health Informatics Department, Informatics Institute, Middle East Technical University, Ankara, Turkey.",Fani M,Bozkurt,Mehmet,Aslan,Emre,Şener,Ömer,Uğur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment of non-small cell lung cancer in elderly patients,https://pubmed.ncbi.nlm.nih.gov/18183333/,XX,XX,2007,Revista portuguesa de pneumologia,13,6,0873-2159,Filipa,Costa,"Serviço de Pneumologia, Centro Hospitalar de Coimbra.",Fernando,J Barata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do patients and providers agree about the most important facts and goals for breast reconstruction decisions?,https://pubmed.ncbi.nlm.nih.gov/20395809/,XX,05,2010,Annals of plastic surgery,64,5,1536-3708,Clara N,Lee,"Division of Plastic and Reconstructive Surgery, University of North Carolina, Chapel Hill, NC 27599-7195, USA.",C Scott,Hultman,Karen,Sepucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utility of intraoperative squash cytology in diagnosis of paediatric central nervous system lesions,https://pubmed.ncbi.nlm.nih.gov/30569601/,19,12,2018,Diagnostic cytopathology,47,5,1097-0339,Priyanka,Maity,"Department of Pathology, IPGME&R, Kolkata, India.",Moumita,Sengupta,Kavita,Jain,Shubhamitra,Chaudhuri,Uttara,Chatterjee,Chhanda,Datta,Sandip,Chatterjee,,,,,"Department of Pathology, IPGME&R, Kolkata, India.","Department of Pathology, IPGME&R, Kolkata, India.","Department of Neurosurgery, BIN, Kolkata, India.","Department of Pathology, IPGME&R, Kolkata, India.","Department of Pathology, IPGME&R, Kolkata, India.","Department of Neurosurgery, VIMS, Kolkata, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location of radiotherapy centers: an exploratory geographic analysis for belgium,https://pubmed.ncbi.nlm.nih.gov/23089067/,22,10,2012,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,16,7,1769-6658,C,Cotteels,"Center for Operations Research and Econometrics, université catholique de Louvain, Louvain-la-Neuve, Belgique.",D,Peeters,P A,Coucke,I,Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counseling the patient with regional metastasis of prostate cancer,https://pubmed.ncbi.nlm.nih.gov/8428324/,01,02,1993,Cancer,71,3 Suppl,0008-543X,J E,Montie,"Urologic Oncology, Wayne State University, School of Medicine, Detroit, MI 48201.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4d ct image acquisition errors in sbrt of liver identified using correlation,https://pubmed.ncbi.nlm.nih.gov/22231209/,05,01,2012,Journal of applied clinical medical physics,13,1,1526-9914,Martin,Szegedi,"Department of Radiation Oncology, University of Utah, Salt Lake City, UT 84112, USA. martin.szegedi@hci.utah.edu",Vikren,Sarkar,Prema,Rassiah-Szegedi,Brian,Wang,Y Jessica,Huang,Hui,Zhao,Bill,Salter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electronic portal image assisted reduction of systematic set-up errors in head and neck irradiation,https://pubmed.ncbi.nlm.nih.gov/11731000/,XX,12,2001,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,61,3,0167-8140,H C,de Boer,"Department of Radiation Oncology, Division of Clinical Physics, Daniel den Hoed Cancer Center/University Hospital Rotterdam, Groene Hilledijk 301, P.O. Box 5201, 3008 Rotterdam, The Netherlands.",J R,van Sörnsen de Koste,C L,Creutzberg,A G,Visser,P C,Levendag,B J,Heijmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the diagnosis and treatment of soft tissue sarcomas of the limbs,https://pubmed.ncbi.nlm.nih.gov/21286000/,21,01,2011,Deutsches Arzteblatt international,108,3,1866-0452,Holger,Bannasch,"Abteilung Plastische und Handchirurgie, Universitätsklinikum Freiburg, Hugstetter Str. 55, 79106 Freiburg, Germany. holger.bannasch@uniklinik-freiburg.de",Steffen U,Eisenhardt,Anca-Ligia,Grosu,Jürgen,Heinz,Arash,Momeni,G Björn,Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparing five alternative methods of breast reconstruction surgery: a cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/24165623/,XX,11,2013,Plastic and reconstructive surgery,132,5,1529-4242,Ritwik,Grover,"Hanover and Lebanon, N.H.; Aurora, Colo.; and Los Angeles, Calif. From the Geisel School of Medicine at Dartmouth, Dartmouth College; the Center for Pharmaceutical Outcomes Research, University of Colorado Health Sciences Center; the Department of Plastic Surgery, Los Angeles County Hospital, University of Southern California; and the Department of Plastic Surgery, Dartmouth-Hitchcock Medical Center.",William V,Padula,Michael,Van Vliet,Emily B,Ridgway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imaging findings for mucinous tumors of the abdomen and pelvis,https://pubmed.ncbi.nlm.nih.gov/31078302/,09,05,2019,Radiologia,61,5,2173-5107,L,Raposo Rodríguez,"Servicio de Radiodiagnóstico, Fundación Hospital de Jove, Gijón, Asturias, España. Electronic address: luciaraposo81@hotmail.com.",N,Fernández García,D J,Tovar Salazar,R,Gómez Illán,T B,Díaz Sánchez,,,,,,,,,"Servicio de Radiodiagnóstico, Fundación Hospital de Jove, Gijón, Asturias, España.","Servicio de Radiodiagnóstico, Fundación Hospital de Jove, Gijón, Asturias, España.","Servicio de Radiodiagnóstico, Centro Médico de Asturias, Oviedo, Asturias, España.","Servicio de Radiodiagnóstico, Fundación Hospital de Jove, Gijón, Asturias, España.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation of cost effectiveness for conservative and active management strategies for acoustic neuroma,https://pubmed.ncbi.nlm.nih.gov/19793276/,XX,10,2009,Clinical otolaryngology : official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology & Cervico-Facial Surgery,34,5,1749-4486,S,Verma,"Department of Otolaryngology-Head and Neck Surgery, University Health Network, Toronto General Hospital, Toronto, ON, Canada. drsanjverma@gmail.com",R,Anthony,V,Tsai,M,Taplin,J,Rutka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
